"sysusr.mast_unit - Select, Insert, Update"
"sysusr.mast_unit_fin - Select, Insert, Update"
"sysusr.shared_inv - Select, Insert, Update"
"sysusr.uvs_mast_sale - Select, Insert, Update"
"sysusr.txn_trig - Select, Insert, Update, Delete"
"sysusr.uvs_elb_sal - Select, Insert, Update"
"sysusr.uvs_evt - Select, Insert, Update"
"sysusr.uvs_pur - Select, Insert, Update"
"sysusr.uvs_tot_pymt - Select, Insert, Update"
"sysusr.trd_unit_chng - Select, Insert, Update"
"sysusr.uvs_lnhld - Select, Insert, Update"
"sysusr.uvs_spl_instr - Select, Insert, Update"
"sysusr.CODES_FILE - Select"
"sysusr.uvs_chng_hist - Select, Insert, Update"
"sysyusr.uvs_indv_pymt - Select, Insert, Update"
